time,x(t),x'(t)
9.15,-1.49478,0.212257
9.16,-1.49261,0.220328
9.17,-1.49037,0.228409
9.18,-1.48805,0.236501
9.19,-1.48564,0.244604
9.2,-1.48315,0.252719
9.21,-1.48059,0.260846
9.22,-1.47794,0.268986
9.23,-1.47521,0.277139
9.24,-1.47239,0.285305
9.25,-1.4695,0.293486
9.26,-1.46652,0.301681
9.27,-1.46347,0.309891
9.28,-1.46033,0.318117
9.29,-1.4571,0.326359
9.3,-1.4538,0.334618
9.31,-1.45041,0.342894
9.32,-1.44694,0.351188
9.33,-1.44339,0.3595
9.34,-1.43975,0.367831
9.35,-1.43603,0.376182
9.36,-1.43223,0.384552
9.37,-1.42834,0.392943
9.38,-1.42437,0.401356
9.39,-1.42031,0.40979
9.4,-1.41617,0.418247
9.41,-1.41195,0.426727
9.42,-1.40764,0.43523
9.43,-1.40324,0.443758
9.44,-1.39876,0.452311
9.45,-1.3942,0.460889
9.46,-1.38954,0.469494
9.47,-1.38481,0.478126
9.48,-1.37998,0.486786
9.49,-1.37507,0.495474
9.5,-1.37007,0.504192
9.51,-1.36499,0.512939
9.52,-1.35981,0.521718
9.53,-1.35455,0.530527
9.54,-1.3492,0.53937
9.55,-1.34376,0.548245
9.56,-1.33824,0.557154
9.57,-1.33262,0.566099
9.58,-1.32692,0.575079
9.59,-1.32112,0.584096
9.6,-1.31523,0.59315
9.61,-1.30926,0.602243
9.62,-1.30319,0.611375
9.63,-1.29703,0.620548
9.64,-1.29078,0.629762
9.65,-1.28443,0.639019
9.66,-1.278,0.648319
9.67,-1.27147,0.657664
9.68,-1.26484,0.667055
9.69,-1.25813,0.676492
9.7,-1.25131,0.685978
9.71,-1.24441,0.695513
9.72,-1.2374,0.705099
9.73,-1.2303,0.714736
9.74,-1.22311,0.724427
9.75,-1.21582,0.734172
9.76,-1.20842,0.743974
9.77,-1.20094,0.753832
9.78,-1.19335,0.76375
9.79,-1.18566,0.773727
9.8,-1.17787,0.783767
9.81,-1.16999,0.793871
9.82,-1.162,0.804039
9.83,-1.1539,0.814275
9.84,-1.14571,0.82458
9.85,-1.13741,0.834955
9.86,-1.12901,0.845403
9.87,-1.1205,0.855925
9.88,-1.11189,0.866524
9.89,-1.10317,0.877202
9.9,-1.09435,0.88796
9.91,-1.08541,0.898802
9.92,-1.07637,0.90973
9.93,-1.06722,0.920745
9.94,-1.05796,0.931851
9.95,-1.04858,0.943051
9.96,-1.03909,0.954346
9.97,-1.02949,0.965741
9.98,-1.01978,0.977237
9.99,-1.00995,0.988838
10,-1,1.00055
