time,x(t),x'(t)
1.78,-1.42608,-0.442467
1.79,-1.43045,-0.431114
1.8,-1.4347,-0.419784
1.81,-1.43884,-0.408475
1.82,-1.44287,-0.397187
1.83,-1.44679,-0.385922
1.84,-1.45059,-0.374678
1.85,-1.45428,-0.363455
1.86,-1.45786,-0.352254
1.87,-1.46133,-0.341073
1.88,-1.46468,-0.329913
1.89,-1.46792,-0.318774
1.9,-1.47106,-0.307654
1.91,-1.47408,-0.296555
1.92,-1.47699,-0.285475
1.93,-1.47979,-0.274415
1.94,-1.48248,-0.263373
1.95,-1.48505,-0.252351
1.96,-1.48752,-0.241346
1.97,-1.48988,-0.23036
1.98,-1.49213,-0.219391
1.99,-1.49427,-0.208439
2,-1.4963,-0.197505
2.01,-1.49822,-0.186587
2.02,-1.50003,-0.175685
2.03,-1.50173,-0.164799
2.04,-1.50333,-0.153928
2.05,-1.50481,-0.143072
2.06,-1.50619,-0.132231
2.07,-1.50746,-0.121403
2.08,-1.50862,-0.110589
2.09,-1.50967,-0.0997888
2.1,-1.51061,-0.0890009
2.11,-1.51145,-0.0782253
2.12,-1.51218,-0.0674614
2.13,-1.5128,-0.056709
2.14,-1.51331,-0.0459673
2.15,-1.51372,-0.0352361
2.16,-1.51402,-0.0245148
2.17,-1.51421,-0.0138028
2.18,-1.51429,-0.0030998
2.19,-1.51427,0.00759481
2.2,-1.51414,0.0182815
2.21,-1.5139,0.0289608
2.22,-1.51356,0.0396332
2.23,-1.51311,0.0502993
2.24,-1.51256,0.0609596
2.25,-1.51189,0.0716145
2.26,-1.51112,0.0822647
2.27,-1.51025,0.0929106
2.28,-1.50926,0.103553
2.29,-1.50818,0.114192
2.3,-1.50698,0.124829
2.31,-1.50568,0.135463
2.32,-1.50427,0.146096
2.33,-1.50276,0.156728
2.34,-1.50114,0.16736
2.35,-1.49941,0.177993
2.36,-1.49758,0.188626
2.37,-1.49564,0.19926
2.38,-1.49359,0.209897
2.39,-1.49144,0.220536
2.4,-1.48918,0.231179
2.41,-1.48682,0.241825
2.42,-1.48434,0.252476
2.43,-1.48177,0.263132
2.44,-1.47908,0.273794
2.45,-1.47629,0.284462
2.46,-1.47339,0.295138
2.47,-1.47039,0.305821
2.48,-1.46728,0.316513
2.49,-1.46406,0.327213
2.5,-1.46073,0.337924
2.51,-1.4573,0.348645
2.52,-1.45376,0.359377
2.53,-1.45011,0.370121
2.54,-1.44636,0.380877
2.55,-1.44249,0.391647
2.56,-1.43852,0.402431
2.57,-1.43445,0.413229
2.58,-1.43026,0.424044
2.59,-1.42596,0.434874
2.6,-1.42156,0.445721
2.61,-1.41705,0.456587
2.62,-1.41243,0.467471
2.63,-1.4077,0.478374
2.64,-1.40286,0.489298
2.65,-1.39791,0.500243
2.66,-1.39286,0.51121
2.67,-1.38769,0.522199
2.68,-1.38241,0.533213
2.69,-1.37703,0.544251
2.7,-1.37153,0.555314
2.71,-1.36592,0.566404
2.72,-1.3602,0.577521
2.73,-1.35437,0.588667
2.74,-1.34843,0.599842
2.75,-1.34237,0.611047
2.76,-1.33621,0.622283
2.77,-1.32993,0.633552
2.78,-1.32353,0.644854
2.79,-1.31703,0.65619
2.8,-1.31041,0.667562
2.81,-1.30368,0.67897
2.82,-1.29683,0.690417
2.83,-1.28987,0.701902
2.84,-1.28279,0.713427
2.85,-1.2756,0.724993
2.86,-1.26829,0.736602
2.87,-1.26087,0.748254
2.88,-1.25333,0.759952
2.89,-1.24567,0.771696
2.9,-1.23789,0.783487
2.91,-1.23,0.795328
2.92,-1.22199,0.807218
2.93,-1.21385,0.819161
2.94,-1.2056,0.831157
2.95,-1.19723,0.843208
2.96,-1.18874,0.855315
2.97,-1.18012,0.86748
2.98,-1.17139,0.879705
2.99,-1.16253,0.891991
3,-1.15355,0.904339
3.01,-1.14444,0.916752
3.02,-1.13521,0.929232
3.03,-1.12586,0.94178
3.04,-1.11638,0.954398
3.05,-1.10677,0.967087
3.06,-1.09704,0.979851
3.07,-1.08717,0.992691
3.08,-1.07718,1.00561
3.09,-1.06706,1.01861
3.1,-1.05681,1.03169
3.11,-1.04643,1.04485
3.12,-1.03591,1.0581
3.13,-1.02526,1.07144
3.14,-1.01448,1.08488
3.15,-1.00357,1.0984
3.16,-0.992515,1.11203
3.17,-0.981326,1.12575
3.18,-0.969999,1.13957
3.19,-0.958534,1.1535
3.2,-0.946929,1.16754
3.21,-0.935183,1.18169
3.22,-0.923295,1.19595
3.23,-0.911264,1.21032
3.24,-0.899088,1.22482
3.25,-0.886767,1.23944
3.26,-0.874299,1.25418
3.27,-0.861683,1.26906
3.28,-0.848917,1.28406
3.29,-0.836001,1.29921
3.3,-0.822933,1.31449
3.31,-0.809711,1.32991
3.32,-0.796334,1.34548
3.33,-0.782801,1.36121
3.34,-0.769109,1.37708
3.35,-0.755258,1.39311
3.36,-0.741246,1.4093
3.37,-0.727072,1.42566
3.38,-0.712733,1.44218
3.39,-0.698228,1.45888
3.4,-0.683555,1.47575
3.41,-0.668712,1.49279
3.42,-0.653698,1.51002
3.43,-0.638511,1.52742
3.44,-0.623149,1.54501
3.45,-0.60761,1.56279
3.46,-0.591893,1.58075
3.47,-0.575995,1.59889
3.48,-0.559914,1.61722
3.49,-0.54365,1.63573
3.5,-0.527199,1.65442
3.51,-0.510561,1.67328
3.52,-0.493733,1.69231
3.53,-0.476714,1.7115
3.54,-0.459502,1.73083
3.55,-0.442097,1.75029
3.56,-0.424496,1.76985
3.57,-0.406699,1.78951
3.58,-0.388706,1.80921
3.59,-0.370515,1.82894
3.6,-0.352127,1.84865
3.61,-0.333542,1.86829
3.62,-0.314762,1.88779
3.63,-0.295787,1.90709
3.64,-0.276621,1.92611
3.65,-0.257266,1.94474
3.66,-0.237728,1.96289
3.67,-0.21801,1.98042
3.68,-0.198122,1.99721
3.69,-0.178069,2.01309
3.7,-0.157863,2.0279
3.71,-0.137515,2.04147
3.72,-0.117039,2.05362
3.73,-0.0964484,2.06416
3.74,-0.0757614,2.07292
3.75,-0.0549964,2.07974
3.76,-0.0341735,2.08449
3.77,-0.0133139,2.08706
3.78,0.00756013,2.08737
3.79,0.0284259,2.0854
3.8,0.0492607,2.08118
3.81,0.0700422,2.07476
3.82,0.0907489,2.06625
3.83,0.111361,2.05578
3.84,0.131859,2.04351
3.85,0.152226,2.02963
3.86,0.172446,2.01432
3.87,0.192508,1.99776
3.88,0.212398,1.98014
3.89,0.232108,1.96164
3.9,0.251628,1.94241
3.91,0.270954,1.92261
3.92,0.290079,1.90235
3.93,0.309,1.88176
3.94,0.327714,1.86093
3.95,0.346218,1.83996
3.96,0.364512,1.81891
3.97,0.382596,1.79784
3.98,0.400469,1.77681
3.99,0.418133,1.75587
4,0.435587,1.73504
